time,herbivores,carnivores,plants,corpses,mean_energy,stddev_energy,min_energy,max_energy,biomass_producers,biomass_consumers,biomass_corpses,biomass_soil,energy_hunting,energy_scavenging,energy_total_transfer,deaths_starvation,deaths_predation
0.983,80,20,500,0,498.679,494.234,47.571,2419.730,4286.466,49867.908,0.000,83695.402,0.781,0.000,0.000,0,0
1.983,80,20,500,0,497.481,494.122,46.082,2417.683,4843.347,49748.102,0.000,85470.803,2.380,0.000,0.000,0,0
2.983,80,20,500,0,496.267,494.020,44.620,2416.044,5261.733,49626.749,0.000,87246.205,4.029,0.000,0.000,0,0
3.983,80,20,500,0,495.045,493.929,43.157,2414.426,5549.256,49504.546,0.000,89021.563,4.029,0.000,0.000,0,0
4.983,80,20,500,0,493.825,493.831,41.677,2412.805,5723.309,49382.523,0.000,90661.708,4.029,0.000,0.000,0,0
5.983,80,20,500,0,492.593,493.767,40.137,2411.177,5805.643,49259.263,0.000,92267.728,5.942,0.000,0.000,0,0
6.983,80,20,500,0,491.369,493.681,38.588,2409.557,5823.082,49136.859,0.000,93873.238,5.942,0.000,0.000,0,0
7.983,80,20,500,0,490.144,493.596,37.040,2407.937,5825.297,49014.426,0.000,95478.445,5.942,0.000,0.000,0,0
8.983,80,20,500,0,488.923,493.503,35.488,2406.299,5826.031,48892.312,0.000,97083.253,6.473,0.000,0.167,0,0
9.983,80,20,500,0,487.715,493.407,33.965,2404.676,5826.483,48771.483,0.000,98687.599,6.473,0.000,0.000,0,0
10.983,80,20,500,0,486.504,493.310,32.416,2403.039,5826.317,48650.397,0.000,100291.424,6.473,0.000,0.000,0,0
11.983,80,20,500,0,485.287,493.219,30.413,2401.416,5826.317,48528.679,0.000,101894.699,6.473,0.000,0.000,0,0
12.983,80,20,500,0,484.067,493.136,28.245,2399.793,5826.200,48406.746,0.000,103497.366,6.473,0.000,0.000,0,0
13.983,80,20,500,0,482.850,493.054,26.075,2398.155,5826.067,48284.965,0.000,105099.327,6.473,0.000,0.000,0,0
14.983,80,20,500,0,481.625,492.974,23.906,2396.532,5825.900,48162.523,0.000,106700.621,6.473,0.000,0.000,0,0
15.983,80,20,500,0,480.410,492.894,21.740,2394.909,5825.600,48040.989,0.000,108301.104,6.473,0.000,0.000,0,0
16.983,80,20,500,0,479.189,492.817,19.575,2393.271,5825.483,47918.885,0.000,109900.781,6.473,0.000,0.167,0,0
17.983,80,20,526,0,477.971,492.744,17.412,2391.648,5871.723,47797.131,0.000,111499.597,6.473,0.000,0.000,0,0
18.983,80,20,526,0,476.739,492.675,15.249,2390.010,6002.756,47673.902,0.000,113097.494,6.473,0.000,0.000,0,0
19.983,80,20,620,0,475.514,492.602,13.061,2388.386,6365.210,47551.385,0.000,114694.418,6.473,0.000,0.167,0,0
20.983,80,20,620,0,474.299,492.526,10.901,2386.763,6759.144,47429.861,0.000,116290.326,6.473,0.000,0.000,0,0
21.983,80,20,629,0,473.087,492.448,8.740,2385.125,7131.911,47308.745,0.000,117885.169,6.473,0.000,0.000,0,0
22.983,80,20,629,0,471.878,492.363,6.579,2383.502,7456.362,47187.754,0.000,119478.882,7.998,0.000,0.000,0,0
23.983,80,20,629,0,470.669,492.288,4.418,2381.878,7671.144,47066.938,0.000,121071.417,7.998,0.000,0.000,0,0
24.983,80,20,647,0,469.454,492.223,2.258,2380.240,7732.053,46945.354,0.000,122662.734,7.998,0.000,0.000,0,0
25.983,80,20,647,0,468.245,492.154,0.100,2378.616,7814.020,46824.471,0.000,124252.802,7.998,0.000,0.000,0,0
26.983,79,19,647,2,476.606,492.460,7.407,2376.978,7895.986,46707.387,55.941,125841.534,7.998,0.000,0.000,2,0
27.983,79,19,647,2,475.424,492.370,5.718,2375.355,7977.436,46591.560,55.941,127428.898,7.998,0.000,0.000,2,0
