time,genome_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
60.0000,12746801301995054577,0.0841,0.0626,0.0000,0.1224,0.0000,0.1141,0.0970,0.1895,0.5000,0.5000,0.6478,0.4219,0.3341,0.0000,0.3694,0.1250
60.0000,4881974221572093543,0.0398,0.0000,0.0000,0.0727,0.0000,0.0439,0.0410,0.4000,0.1613,0.5000,0.2350,0.5983,0.2548,0.0000,0.4402,0.1132
60.0000,141822649446896919,0.1397,0.0000,0.0000,0.1268,0.0000,0.1961,0.1663,0.4000,0.1613,0.5000,0.5438,0.8267,0.7023,0.0000,0.3772,0.2206
60.0000,18120575903326298459,0.0298,0.0933,0.0796,0.0791,0.0000,0.0823,0.0759,0.1895,0.5000,0.5000,0.7795,0.7356,0.4607,0.0000,0.3904,0.1350
60.0000,10521698507488661895,0.0298,0.0933,0.0796,0.0791,0.0000,0.0267,0.0203,0.1895,0.5000,0.5000,0.7497,0.6862,0.5485,0.0000,0.3904,0.0403
60.0000,3874788187419413431,0.0705,0.0821,0.0743,0.1278,0.5000,0.0716,0.0569,0.4000,0.1613,0.5000,0.0614,0.5671,0.1488,0.0000,0.4129,0.1132
60.0000,8248320483160629115,0.0770,0.0000,0.0000,0.0767,0.0000,0.0265,0.0177,0.4000,0.1613,0.5000,0.8137,0.5585,0.5345,0.0000,0.4087,0.0394
60.0000,4819161734889162390,0.1314,0.0000,0.0000,0.0843,0.5000,0.0808,0.0618,0.4000,0.1613,0.5000,0.7474,0.3733,0.0749,0.0000,0.3586,0.1241
60.0000,15751627833099464539,0.0705,0.0821,0.0743,0.1278,0.5000,0.1246,0.1099,0.4000,0.1613,0.5000,0.1280,0.6882,0.2616,0.0000,0.4129,0.2088
60.0000,6566723599816764189,0.0298,0.0933,0.0796,0.0791,0.0000,0.0205,0.0141,0.1895,0.5000,0.5000,0.7357,0.7008,0.4630,0.0000,0.3904,0.0285
60.0000,17958798488811715021,0.0487,0.0502,0.0548,0.1428,0.0000,0.2174,0.2065,0.4000,0.1613,0.5000,0.2235,0.1161,0.7079,0.0000,0.3532,0.2215
60.0000,7482193527161525024,0.0487,0.0502,0.0548,0.1351,0.0000,0.2207,0.2102,0.4000,0.1613,0.5000,0.2179,0.1298,0.6460,0.0000,0.3532,0.2215
60.0000,16436599492441090657,0.1262,0.0000,0.0000,0.1196,0.5000,0.2959,0.2703,0.1895,0.5000,0.5000,0.2174,0.8205,0.0862,0.0000,0.4416,0.3062
60.0000,7112722155299629156,0.0690,0.0000,0.0000,0.1485,0.0000,0.1649,0.1509,0.1895,0.5000,0.5000,0.7795,0.3342,0.5704,0.0000,0.4156,0.2215
60.0000,16786423991736932167,0.0208,0.0929,0.0326,0.1279,0.5000,0.1992,0.1707,0.4000,0.1613,0.5000,0.7935,0.1270,0.1264,0.0000,0.3643,0.2088
60.0000,9078620139640255494,0.0908,0.0000,0.0000,0.0555,0.0000,0.1823,0.1615,0.4000,0.1613,0.5000,0.8188,0.8859,0.3809,0.0000,0.3776,0.2097
60.0000,1352911447258717464,0.0202,0.2041,0.0000,0.1271,0.0000,0.1106,0.1030,0.4000,0.1613,0.5000,0.3650,0.6517,0.2279,0.0000,0.4018,0.1359
60.0000,4825454550508017032,0.0208,0.0929,0.0326,0.1279,0.5000,0.1636,0.1352,0.4000,0.1613,0.5000,0.9297,0.1605,0.2046,0.0000,0.3643,0.2197
60.0000,352805853721840341,0.0690,0.0000,0.0000,0.1485,0.0000,0.1688,0.1548,0.1895,0.5000,0.5000,0.9001,0.4882,0.5865,0.0000,0.4156,0.2206
60.0000,9179766820855324388,0.0705,0.0821,0.0743,0.1278,0.5000,0.0764,0.0618,0.4000,0.1613,0.5000,0.2494,0.6923,0.2117,0.0000,0.4129,0.1250
60.0000,13066515571996248122,0.0639,0.0838,0.0704,0.0713,0.0000,0.1274,0.1132,0.1895,0.5000,0.5000,0.7058,0.3363,0.2755,0.0000,0.4286,0.1250
60.0000,2871554378175678650,0.0861,0.1367,0.0000,0.0661,0.0000,0.2049,0.1881,0.4000,0.1613,0.5000,0.5271,0.8298,0.8504,0.0000,0.3506,0.2215
60.0000,6174375308722586152,0.0340,0.1878,0.0000,0.0346,0.0000,0.0585,0.0546,0.4000,0.1613,0.5000,0.5702,0.5240,0.3511,0.0000,0.4325,0.1132
60.0000,7035243144576713294,0.0705,0.0821,0.0743,0.1278,0.5000,0.1793,0.1647,0.4000,0.1613,0.5000,0.1962,0.6533,0.1366,0.0000,0.4129,0.2088
60.0000,18250519971336243412,0.0340,0.1878,0.0000,0.0346,0.0000,0.1757,0.1718,0.4000,0.1613,0.5000,0.5645,0.5343,0.2793,0.0000,0.4325,0.2197
60.0000,12591854419142995669,0.0690,0.0000,0.0000,0.1485,0.0000,0.2245,0.2106,0.1895,0.5000,0.5000,0.9740,0.3281,0.5476,0.0000,0.4156,0.2206
